STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1|FIRMSW
2|15746|4055RUPLUS|4000176909|2016-02-18|2016-02-18|2016-02-18|3019549650000010|504|Z1AA|Z2|ISS|3019549650000010|3657056622000010|4000176909|UT2L|504|4055RUPLUS|UT2L|A|0|0
2|15769|4055RUPLUS|4000177006|2016-02-18|2016-02-17|2016-02-18|3019527353000420|570|Z1AA|Z2|ISS|3019527353000420|3657047065000010|4000177006|UT33|570|4055RUPLUS|UT33|A|0|0
2|15787|4055RUPLUS|4000177036|2016-02-19|2016-02-19|2016-02-19|3019564979000010|320|Z1AA|Z2|ISS|3019564979000010|3657062344000010|4000177036|USQ8|320|4055RUPLUS|USQ8|A|0|0
2|16449|4055RUPLUS|4000180980|2016-02-18|2016-02-18|2016-02-18|3019527454000010|570|Z1AA|Z2|ISS|3019527454000010|3657056362000010|4000180980|UT2J|570|4055RUPLUS|UT2J|A|0|0
2|16528|4055RUPLUS|4000181700|2016-02-18|2016-02-18|2016-02-18|3019527849000090|570|Z1AA|Z2|ISS|3019527849000090|3657051873000010|4000181700|USA6|570|4055RUPLUS|USA6|A|0|0
2|19604|4055RUPLUS|4000199681|2016-02-27|2016-02-27|2016-02-27|3019569635000150|570|Z1AA|Z1|CPU|3019569635000150|3657059309000010|4000199681|UT45|570|4055RUPLUS|UT45|A|0|0
2|20105|4055RUPLUS|4000200972|2016-02-17|2016-02-17|2016-02-17|3019550839000001|570|Z1AA|Z2|ISS|3019550839000001|3657047286000010|4000200972|USE1|570|4055RUPLUS|USE1|A|0|0
0|0|4055RUPLUS|4000201252|2016-02-19|2016-02-18|2016-02-19|3019567112000010|570|Z1AA|Z2|ISS|3019567112000010|3657063499000010|4000201252|CA1C|570|4055RUPLUS||A|0|0
2|20635|4055RUPLUS|4000201670|2016-02-22|2016-02-22|2016-02-22|3019569891000001|570|Z1AA|Z1|CPU|3019569891000001|3657059523000010|4000201670|USMX|570|4055RUPLUS|USMX|A|0|0
2|20952|4055RUPLUS|4000202409|2016-02-17|2016-02-17|2016-02-17|3019557181000001|140|Z1AA|Z2|ISS|3019557181000001|3657047325000010|4000202409|UT2J|140|4055RUPLUS|UT2J|A|0|0
2|21097|4055RUPLUS|4000202636|2016-02-18|2016-02-18|2016-02-18|3019527551000560|570|Z1AA|Z2|ISS|3019527551000560|3657056320000010|4000202636|USNT|570|4055RUPLUS|USNT|A|0|0
2|21097|4055RUPLUS|4000202636|2016-02-18|2016-02-18|2016-02-18|3019527551000670|570|Z1AA|Z2|ISS|3019527551000670|3657056327000010|4000202636|USNT|570|4055RUPLUS|USNT|A|0|0
2|21480|4055RUPLUS|4000203847|2016-02-19|2016-02-19|2016-02-19|3019515796000010|570|Z1AA|Z2|ISS|3019515796000010|3657062964000010|4000203847|USHD|570|4055RUPLUS|USHD|A|0|0
2|21543|4055RUPLUS|4000203983|2016-02-18|2016-02-18|2016-02-18|3019464486000010|570|Z1AA|Z2|ISS|3019464486000010|3657051524000010|4000203983|USH3|570|4055RUPLUS|USH3|A|0|0
2|21959|4055RUPLUS|4000206374|2016-02-20|2016-02-20|2016-02-20|3019527575000090|570|Z1AA|Z2|ISS|3019527575000090|3657041480000010|4000206374|USIE|570|4055RUPLUS|USIE|A|0|0
2|13514|4055RUPLUS|4000162849|2016-02-17|2016-02-17|2016-02-17|3019551323000010|570|Z1AA|Z2|ISS|3019551323000010|3657047156000010|4000162849|USNT|570|4055RUPLUS|USNT|A|0|0
2|13571|4055RUPLUS|4000162920|2016-02-18|2016-02-17|2016-02-18|3019563027000010|570|Z1AA|Z2|ISS|3019563027000010|3657057019000010|4000162920|UT44|570|4055RUPLUS|UT44|A|0|0
2|13588|4055RUPLUS|4000162962|2016-02-18|2016-02-18|2016-02-18|3019527277000400|570|Z1AA|Z2|ISS|3019527277000400|3657041838000010|4000162962|USA4|570|4055RUPLUS|USA4|A|0|0
2|13589|4055RUPLUS|4000162962|2016-02-19|2016-02-19|2016-02-19|3019527277000330|570|Z1AA|Z2|ISS|3019527277000330|3657041844000010|4000162962|USA4|570|4055RUPLUS|USA4|A|0|0
2|13698|4055RUPLUS|4000163575|2016-02-18|2016-02-18|2016-02-18|3019528504000020|570|Z1AA|Z2|ISS|3019528504000020|3657047167000010|4000163575|USNT|570|4055RUPLUS|USNT|A|0|0
2|13817|4055RUPLUS|4000164063|2016-02-17|2016-02-17|2016-02-17|3019557443000010|570|Z1AA|Z2|ISS|3019557443000010|3657052863000010|4000164063|UT43|570|4055RUPLUS|UT43|A|0|0
2|13843|4055RUPLUS|4000164187|2016-02-18|2016-02-18|2016-02-18|3019527317000750|570|Z1AA|Z2|ISS|3019527317000750|3657019062000010|4000164187|USWT|570|4055RUPLUS|USWT|A|0|0
2|13844|4055RUPLUS|4000164187|2016-02-19|2016-02-19|2016-02-19|3019527317000780|570|Z1AA|Z2|ISS|3019527317000780|3657019066000010|4000164187|USWT|570|4055RUPLUS|USWT|A|0|0
2|13979|4055RUPLUS|4000165222|2016-02-19|2016-02-19|2016-02-19|3019527247000250|570|Z1AA|Z2|ISS|3019527247000250|3657060700000010|4000165222|USJN|570|4055RUPLUS|USJN|A|0|0
2|22371|4055RUPLUS|4000209139|2016-02-19|2016-02-19|2016-02-19|3019566164000010|240|Z1AA|Z2|ISS|3019566164000010|3657062475000010|4000209139|USNH|240|4055RUPLUS|USNH|A|0|0
