STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1
2|8083|4055RUPLUS|4000100253|2016-02-15|2016-02-15|2016-02-15|3019485626000020|570|Z1AA|Z2|ISS|3019485626000020|3657007883000010|4000100253|USMR|570|4055RUPLUS|USMR|A|0
2|8105|4055RUPLUS|4000100409|2016-02-15|2016-02-15|2016-02-15|3019548889000010|570|Z1AA|Z2|ISS|3019548889000010|3657032546000010|4000100409|USXG|570|4055RUPLUS|USXG|A|0
2|6675|4055RUPLUS|4000090247|2016-02-16|2016-02-16|2016-02-16|3019438587000010|570|Z1AA|Z2|ISS|3019438587000010|3657039871000010|4000090247|USKM|570|4055RUPLUS|USKM|A|0
2|4984|4055RUPLUS|4000075068|2016-02-15|2016-02-15|2016-02-15|3019528136000010|570|Z1AA|Z2|ISS|3019528136000010|3657030210000010|4000075068|US8R|570|4055RUPLUS|US8R|A|0
2|48953|4055RUPLUS|4000288414|2016-02-17|2016-02-17|2016-02-17|3019528327000080|570|Z1AA|Z2|ISS|3019528327000080|3657019852000010|4000288414|UT3C|570|4055RUPLUS|UT3C|A|0
2|50298|4055RUPLUS|4000292571|2016-02-15|2016-02-15|2016-02-15|3019528326000004|570|Z1AA|Z2|ISS|3019528326000004|3657019002000010|4000292571|USA4|570|4055RUPLUS|USA4|A|0
2|50299|4055RUPLUS|4000292571|2016-02-17|2016-02-17|2016-02-17|3019528326000017|570|Z1AA|Z2|ISS|3019528326000017|3657019017000010|4000292571|USA4|570|4055RUPLUS|USA4|A|0
2|50722|4055RUPLUS|4000293453|2016-02-17|2016-02-17|2016-02-17|3019550477000010|570|Z1AA|Z2|ISS|3019550477000010|3657041436000010|4000293453|USQ4|570|4055RUPLUS|USQ4|A|0
2|50805|4055RUPLUS|4000293472|2016-02-17|2016-02-16|2016-02-17|3019550875000010|570|Z1AA|Z2|ISS|3019550875000010|3657041025000010|4000293472|UT85|570|4055RUPLUS|UT85|A|0
2|63890|4055RUPLUS|6100747589|2016-02-17|2016-02-17|2016-02-17|3019421147000050|510|Z1AA|Z2|ISS|3019421147000050|3657019646000010|6100747589|UT3C|510|4055RUPLUS|UT3C|A|0
2|63890|4055RUPLUS|6100747589|2016-02-17|2016-02-17|2016-02-17|3019421147000060|510|Z1AA|Z2|ISS|3019421147000060|3657019646000020|6100747589|UT3C|510|4055RUPLUS|UT3C|A|0
2|63892|4055RUPLUS|6100747589|2016-02-19|2016-02-19|2016-02-19|3019421147000090|510|Z1AA|Z2|ISS|3019421147000090|3657019648000010|6100747589|UT3C|510|4055RUPLUS|UT3C|A|0
2|55364|4055RUPLUS|6100103989|2016-02-15|2016-02-15|2016-02-15|3019527732000020|570|Z1AA|Z1|CPU|3019527732000020|3657005998000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|55364|4055RUPLUS|6100103989|2016-02-15|2016-02-15|2016-02-15|3019527732000060|570|Z1AA|Z1|CPU|3019527732000060|3657006021000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|55364|4055RUPLUS|6100103989|2016-02-15|2016-02-15|2016-02-15|3019527732000520|570|Z1AA|Z1|CPU|3019527732000520|3657006049000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|55365|4055RUPLUS|6100103989|2016-02-16|2016-02-16|2016-02-16|3019527732000130|570|Z1AA|Z1|CPU|3019527732000130|3657006106000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|55365|4055RUPLUS|6100103989|2016-02-16|2016-02-16|2016-02-16|3019527732000160|570|Z1AA|Z1|CPU|3019527732000160|3657006114000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|55366|4055RUPLUS|6100103989|2016-02-17|2016-02-17|2016-02-17|3019527732000280|570|Z1AA|Z1|CPU|3019527732000280|3657006146000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|55366|4055RUPLUS|6100103989|2016-02-17|2016-02-17|2016-02-17|3019527732000730|570|Z1AA|Z1|CPU|3019527732000730|3657006150000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|55366|4055RUPLUS|6100103989|2016-02-17|2016-02-17|2016-02-17|3019527732000810|570|Z1AA|Z1|CPU|3019527732000810|3657006158000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|55367|4055RUPLUS|6100103989|2016-02-18|2016-02-18|2016-02-18|3019527732000350|570|Z1AA|Z1|CPU|3019527732000350|3657006169000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
