STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST
2|3019569095000290|3657071355000010|4055RUCUST|UT3C|INDIANAPOLIS|IN|4000131782|ANDERSON|IN|46241|46013|462|460|2016-02-27|2016-02-27|2016-02-27|2016-02-26|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|46241|46013|100|||100
0|3019613789000050||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000280||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-04||2016-03-04||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000190||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000140||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-05||2016-03-05||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000220||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-28||2016-02-28||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000180||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-02||2016-03-02||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000150||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-28||2016-02-28||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000030||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-01||2016-03-01||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000130||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-04||2016-03-04||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
