STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1
1|3019614239000170||4055RUPLUS|USNZ|NASHVILLE|TN|4000068758|MURFREESBORO|TN|37207|37127|372|371|2016-03-01||2016-03-01||570|ISS1EXCL|2016-02-24|570|Z1AA|Z2|37207|37127|37|ISS1EXCL_USNZ->4000068758-202|0.781|375|1
1|3019614239000120||4055RUPLUS|USNZ|NASHVILLE|TN|4000068758|MURFREESBORO|TN|37207|37127|372|371|2016-03-03||2016-03-03||570|ISS1EXCL|2016-02-24|570|Z1AA|Z2|37207|37127|37|ISS1EXCL_USNZ->4000068758-202|0.781|375|1
1|3019614239000010||4055RUPLUS|USNZ|NASHVILLE|TN|4000068758|MURFREESBORO|TN|37207|37127|372|371|2016-02-29||2016-02-29||570|ISS1EXCL|2016-02-24|570|Z1AA|Z2|37207|37127|37|ISS1EXCL_USNZ->4000068758-202|0.781|375|1
1|3019614239000280||4055RUPLUS|USNZ|NASHVILLE|TN|4000068758|MURFREESBORO|TN|37207|37127|372|371|2016-03-03||2016-03-03||570|ISS1EXCL|2016-02-24|570|Z1AA|Z2|37207|37127|37|ISS1EXCL_USNZ->4000068758-202|0.781|375|1
1|3019614239000210||4055RUPLUS|USNZ|NASHVILLE|TN|4000068758|MURFREESBORO|TN|37207|37127|372|371|2016-03-03||2016-03-03||570|ISS1EXCL|2016-02-24|570|Z1AA|Z2|37207|37127|37|ISS1EXCL_USNZ->4000068758-202|0.781|375|1
0|3019569451000220||4055RUPLUS|US9X|ORLANDO|FL|4000068758|MURFREESBORO|TN|32819|37127|328|371|2016-02-26||2016-02-26||570|UNMET|2016-02-24|570|Z1AA|Z2|32819|37127|100|||100|0
0|3019569451000290||4055RUPLUS|US9X|ORLANDO|FL|4000068758|MURFREESBORO|TN|32819|37127|328|371|2016-02-26||2016-02-26||570|UNMET|2016-02-24|570|Z1AA|Z2|32819|37127|100|||100|0
0|3019569451000140||4055RUPLUS|US9X|ORLANDO|FL|4000068758|MURFREESBORO|TN|32819|37127|328|371|2016-02-26||2016-02-26||570|UNMET|2016-02-24|570|Z1AA|Z2|32819|37127|100|||100|0
0|3019569451000300||4055RUPLUS|US9X|ORLANDO|FL|4000068758|MURFREESBORO|TN|32819|37127|328|371|2016-02-26||2016-02-26||570|UNMET|2016-02-24|570|Z1AA|Z2|32819|37127|100|||100|0
0|3019569451000130||4055RUPLUS|US9X|ORLANDO|FL|4000068758|MURFREESBORO|TN|32819|37127|328|371|2016-02-26||2016-02-26||570|UNMET|2016-02-24|570|Z1AA|Z2|32819|37127|100|||100|0
0|3019569451000150||4055RUPLUS|US9X|ORLANDO|FL|4000068758|MURFREESBORO|TN|32819|37127|328|371|2016-02-26||2016-02-26||570|UNMET|2016-02-24|570|Z1AA|Z2|32819|37127|100|||100|0
