A1|B1|PS_RES|PRODRATE|YIELD_QTY|ITEM|OUTPUTITEM|PRODMETH|LOC|LOC_TYPE|DESCR|STATE|MAXCAP|NUMBER_PERIODS|HOURS_AVAIL_TOTAL|HOURS_USED_TOTAL|MIN_HOURS_USED|MAX_HOURS_USED|AVG_HOURS|SIGMA_HOURS|AVG_PERCENT_UTIL|PERCENT_TOTAL_USED|HRS_DY1|HRS_DY2|HRS_DY3|HRS_DY4|HRS_DY5|HRS_DY6|HRS_DY7|HRS_DY8|HRS_DY9|HRS_DY10|HRS_DY11|HRS_DY12|HRS_DY13|HRS_DY14|MIN_QTY_PRODUCED|MAX_QTY_PRODUCED|AVG_QTY_PRODUCED|SIGMA_QTY_PRODUCED|QTYMADE_DY1|QTYMADE_DY2|QTYMADE_DY3|QTYMADE_DY4|QTYMADE_DY5|QTYMADE_DY6|QTYMADE_DY7|QTYMADE_DY8|QTYMADE_DY9|QTYMADE_DY10|QTYMADE_DY11|QTYMADE_DY12|QTYMADE_DY13|QTYMADE_DY14|AVG_PERCENT_CAPACITY_USED|STDEV_PERCENT_CAPACITY_USED|PERCENT_CAPACITY_USED|PERCENTUTIL_DY1|PERCENTUTIL_DY2|PERCENTUTIL_DY3|PERCENTUTIL_DY4|PERCENTUTIL_DY5|PERCENTUTIL_DY6|PERCENTUTIL_DY7|PERCENTUTIL_DY8|PERCENTUTIL_DY9|PERCENTUTIL_DY10|PERCENTUTIL_DY11|PERCENTUTIL_DY12|PERCENTUTIL_DY13|PERCENTUTIL_DY14|RANK
REP_4055RUPLUS@USVE|REP_4055RUPLUS@USVE|REPCAP@USVE|20|1|4055RUPLUS|4055RUPLUS|REP|USVE|2|IFCO Service Center - Antioch|CA|0|14|160|146|0|22.67|10.43|10.07|91.29|91.29|0|12.42|0|0|0|10.98|22.67|22.67|22.67|22.67|0|0|16|16|0|453.35|208.67|201.38|0|248.39|0|0|0|219.6|453.35|453.35|453.35|453.35|0|0|320|320|146.07|0|91.29|0|77.62|0|||68.63|141.67|141.67|141.67|141.67|||100|100|1
INS_4055RUPLUS@USVG|INS_4055RUPLUS@USVG|INSCAP@USVG|74|1|4055RUPLUS|4055RUPLUS|INS|USVG|2|IFCO Service Center - Columbus|OH|5903|14|160|11|0|11.38|0.81|3.04|7.12|7.12|11.38|0|0|0|0|0.01|0|0|0|0|0|0|0|0|0|842|60.21|225.01|842|0|0|0|0|1|0|0|0|0|0|0|0|0|11.39|0|7.12|71.11|0|0|||0.08|0|0|0|0|||0|0|1
INS_4055AR@USVI|INS_4055AR@USVI|INSCAP@USVI|539|0.411|4055AR|4055AR|INS|USVI|2|IFCO Service Center - Livonia|MI|43101|14|160|106|0|16|7.57|6.82|66.21|66.21|16|16|10.54|0|0|15.86|8.1|1.86|16|8.93|0|0|11.12|1.51|0|3544.46|1676.22|1510.04|3544.46|3544.46|2335.3|0|0|3514.05|1793.56|412.56|3544.46|1978.51|0|0|2464.31|335.38|105.93|0|66.21|100|100|65.89|||99.14|50.6|11.64|100|55.82|||69.53|9.46|1
INS_4055AR@USVI|INS_4055RUPLUS@USVI|INSCAP@USVI|539|0.589|4055AR|4055RUPLUS|INS|USVI|2|IFCO Service Center - Livonia|MI|43101|14|160|106|0|16|7.57|6.82|66.21|66.21|16|16|10.54|0|0|15.86|8.1|1.86|16|8.93|0|0|11.12|1.51|0|5079.54|2402.17|2164.02|5079.54|5079.54|3346.7|0|0|5035.95|2570.34|591.24|5079.54|2835.39|0|0|3531.59|480.62|105.93|0|66.21|100|100|65.89|||99.14|50.6|11.64|100|55.82|||69.53|9.46|1
REP_4055RUPLUS@USVI|REP_4055RUPLUS@USVI|REPCAP@USVI|354|1|4055RUPLUS|4055RUPLUS|REP|USVI|2|IFCO Service Center - Livonia|MI|28350|14|160|116|0|16|8.31|7.06|72.71|72.71|16|16|16|0|0|16|14.35|1.17|14.13|8.39|0|0|4.83|9.47|0|5664|2941.66|2498.46|5664|5664|5664|0|0|5664|5078.6|412.56|5002.36|2970.42|0|0|1711.48|3351.83|116.34|0|72.71|100|100|100|||100|89.66|7.28|88.32|52.44|||30.22|59.18|1
INS_4055RUPLUS@USVK|INS_4055RUPLUS@USVK|INSCAP@USVK|14|1|4055RUPLUS|4055RUPLUS|INS|USVK|6|IFCO Service Center - Indianap|IN|1116|1|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
INS_4055AR@USVM|INS_4055AR@USVM|INSCAP@USVM|74|0.35|4055AR|4055AR|INS|USVM|2|IFCO Service Center - Minneapo|MN|5957|14|160|120|0|16|8.54|7.5|74.76|74.76|0.34|16|16|0|0|16|16|16|8.62|13.07|0|0|14.82|2.78|0|414.4|221.3|194.13|8.75|414.4|414.4|0|0|414.4|414.4|414.4|223.2|338.48|0|0|383.81|71.99|119.62|0|74.76|2.11|100|100|||100|100|100|53.86|81.68|||92.62|17.37|1
INS_4055AR@USVM|INS_4055RUPLUS@USVM|INSCAP@USVM|74|0.65|4055AR|4055RUPLUS|INS|USVM|2|IFCO Service Center - Minneapo|MN|5957|14|160|120|0|16|8.54|7.5|74.76|74.76|0.34|16|16|0|0|16|16|16|8.62|13.07|0|0|14.82|2.78|0|769.6|410.99|360.54|16.25|769.6|769.6|0|0|769.6|769.6|769.6|414.52|628.6|0|0|712.79|133.7|119.62|0|74.76|2.11|100|100|||100|100|100|53.86|81.68|||92.62|17.37|1
REP_4055RUPLUS@USVM|REP_4055RUPLUS@USVM|REPCAP@USVM|15|1|4055RUPLUS|4055RUPLUS|REP|USVM|2|IFCO Service Center - Minneapo|MN|1170|14|160|160|0|16|11.43|7.5|100|100|16|16|16|0|0|16|16|16|16|16|0|0|16|16|0|240|171.43|112.51|240|240|240|0|0|240|240|240|240|240|0|0|240|240|160|0|100|100|100|100|||100|100|100|100|100|||100|100|1
INS_4055RUPLUS@USVO|INS_4055RUPLUS@USVO|INSCAP@USVO|22|1|4055RUPLUS|4055RUPLUS|INS|USVO|6|IFCO SC - Phoenix|AZ|0|1|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
