STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1|FIRMSW|SM417_RECNUM|SM417_EFF|SOURCING|MINLEADTIME|DUR
1|135039|4055RUPLUS|4000167159|2016-02-26|||3019481394000010|570|Z1AA|Z2|ISS|||||||USM6||0|1|135268|25-FEB-16|ISS2MAXDISTSRC-5ZIP|1440|1440
1|158554|4055RUPLUS|4000267950|2016-03-01|||3019609428000010|570|Z1AA|Z2|ISS|||||||USXA||0|1|158795|29-FEB-16|ISS2MAXDISTSRC-5ZIP|1440|1440
1|175078|4055RUPLUS|6100325605|2016-03-04|||3019613295000070|570|Z1AA|Z2|ISS|||||||USRK||0|1|175338|04-MAR-16|ISS1EXCL|0|1440
1|132553|4055RUPLUS|4000154327|2016-03-04|||3019614482000130|570|Z1AA|Z1|CPU|||||||UST1||0|0|132777|04-MAR-16|ISS1EXCL|0|1440
1|180356|4055RUPLUS|6101004709|2016-02-26|||3019569866000470|570|Z1AA|Z2|ISS|||||||UT3C||0|1|180644|26-FEB-16|ISS1EXCL|0|1440
1|123229|4055RUPLUS|4000077200|2016-03-03|||3019613878000210|570|Z1AA|Z2|ISS|||||||UT52||0|1|123436|03-MAR-16|ISS2MAXDISTSRC-5ZIP|0|1440
1|120299|4055RUPLUS|4000029626|2016-03-07|||3019526844000080|570|Z1AA|Z2|ISS|||||||UT43||0|1|120501|07-MAR-16|ISS2MAXDISTSRC-5ZIP|0|1440
1|118970|4055RUPLUS|3000063424|2016-02-26|||3019568867000100|570|Z1AA|Z2|ISS|||||||UT35||0|1|119168|26-FEB-16|ISS2MAXDISTSRC-5ZIP|0|1440
1|177680|4055RUPLUS|6100545299|2016-02-29|||3019612844000010|570|Z1AA|Z2|ISS|||||||USXM||0|1|177959|29-FEB-16|ISS2MAXDISTSRC-5ZIP|0|1440
1|174069|4055RUPLUS|6100240055|2016-02-25|||3019568828000450|570|Z1AA|Z2|ISS|||||||USKM||0|1|174326|25-FEB-16|ISS1EXCL|0|1440
1|178551|4055RUPLUS|6100641620|2016-03-01|||3019614850000010|570|Z1AA|Z2|ISS|||||||USGA||0|1|178831|01-MAR-16|ISS2MAXDISTSRC-5ZIP|0|1440
4|-118687|4055RUPLUS|6100518229|2016-03-08|||3019610280000010|570|Z1AA|Z2|ISS|||||||USKM||0|1|-118687|08-MAR-16|UNUSEDSMQTY|0|1440
